iter	RMSE
180	0.1767334537
181	0.176564352
182	0.1764256587
183	0.1761978947
184	0.176088188
185	0.1759794395
186	0.175743267
187	0.1756506965
188	0.1754532354
189	0.1753332085
190	0.1751307152
191	0.1749926494
192	0.1748722573
193	0.1747217973
194	0.1745660649
195	0.1744187319
196	0.1742809733
197	0.1741368489
198	0.1740118435
199	0.1738449352
200	0.1737235348
201	0.1735000057
202	0.1733099358
203	0.1731099512
204	0.1730111147
205	0.1728683578
206	0.1727565216
207	0.1726186356
208	0.1724984447
209	0.1723916977
210	0.172276301
211	0.1720856743
212	0.1720006279
213	0.1718907754
214	0.1717251483
215	0.1715621857
216	0.1714411751
217	0.1713357579
218	0.1712012996
219	0.1709258013
220	0.1708310735
221	0.1706306313
222	0.1705302724
223	0.170452069
224	0.1703325927
225	0.1702630861
226	0.1701752969
227	0.1700489726
228	0.1699328669
229	0.16978759
230	0.1696282761
231	0.1695194853
232	0.1693562493
233	0.1692598286
234	0.1691657153
235	0.169035688
236	0.1689187192
237	0.1688651562
238	0.168751676
239	0.168672266
240	0.1685905755
241	0.1684675246
242	0.1683674693
243	0.1682394287
244	0.1681599164
245	0.1680417509
246	0.1679505058
247	0.1678716644
248	0.1677677524
249	0.1676907205
250	0.1675699224
251	0.1674980877
252	0.1673783442
253	0.1672576602
254	0.1672246677
255	0.1671137881
256	0.1669741239
257	0.166839023
258	0.1667820103
259	0.1666497516
260	0.1665468437
261	0.1663935441
262	0.1663186384
263	0.1662395815
264	0.1661630868
265	0.166054282
266	0.1659823137
267	0.1658800183
268	0.1658169682
269	0.1657128998
270	0.1656061291
271	0.1654978334
272	0.1654198589
273	0.1652720097
274	0.1651732357
275	0.1650849999
276	0.1650233408
277	0.1649390261
278	0.164784976
279	0.1647085557
280	0.1646427939
281	0.1645711705
282	0.1644788607
283	0.1643683111
284	0.1642904905
285	0.1641576363
286	0.1641018579
287	0.1639707244
288	0.1639001018
289	0.1637374901
290	0.1635617032
291	0.1634632889
292	0.1633518359
293	0.1631970988
294	0.1630868259
295	0.1629642155
296	0.1628828575
297	0.1628120764
298	0.1627178505
299	0.1625759023
300	0.1624169822
301	0.1623515065
302	0.1622424734
303	0.1621331295
304	0.1620198228
305	0.1619706992
306	0.1618699472
307	0.161753137
308	0.1616336958
309	0.1615016752
310	0.1614561681
311	0.1612909005
312	0.1612500182
313	0.1611636082
314	0.1610223549
315	0.1608780638
316	0.1607366141
317	0.1606280808
318	0.1605100394
319	0.1604778052
320	0.1603755243
321	0.1602858526
322	0.160158491
323	0.160039752
324	0.159898896
325	0.1598054873
326	0.1597559175
327	0.1596238078
328	0.1594963861
329	0.1594148932
330	0.1593608789
331	0.1592730684
332	0.1591703276
333	0.1591066915
334	0.1590399887
335	0.1588818616
336	0.1587791294
337	0.1586826824
338	0.1586014369
339	0.1585382713
340	0.1584569772
341	0.1583252518
342	0.1582397563
343	0.1581807241
344	0.1580482688
345	0.1579929237
346	0.1578616194
347	0.15775516
348	0.1576606392
349	0.1575624375
350	0.1574821644
351	0.1573690574
352	0.1572670633
353	0.1572032153
354	0.1570899741
355	0.1569933608
356	0.1569094093
357	0.1567841307
358	0.1566635516
359	0.1566034857
360	0.1565400573
361	0.1564186568
362	0.1562864447
363	0.1561794381
364	0.1560989832
365	0.1560042224
366	0.1559556079
367	0.1558638379
368	0.1557911689
369	0.1557066346
370	0.1555890878
371	0.1554913445
372	0.1554094496
373	0.1553186028
374	0.1552393567
375	0.1551439615
376	0.1550614294
377	0.1550223715
378	0.1549891201
379	0.1549552577
380	0.1548474114
381	0.1547070837
382	0.1546337589
383	0.1544931538
384	0.154435706
385	0.1543140113
386	0.1542579449
387	0.1541948581
388	0.1540505089
389	0.1540069462
390	0.1539546614
391	0.1538783204
392	0.1538106077
393	0.1536995798
394	0.1535913069
395	0.1534901826
396	0.1533976599
397	0.1532912069
398	0.1531892591
399	0.153089642
400	0.1530338413
401	0.1528982704
402	0.1527846455
403	0.1526921665
404	0.1526184638
405	0.1525270675
406	0.1524420449
407	0.1523649812
408	0.1522484302
409	0.1521678998
410	0.1520685746
411	0.1519817528
412	0.1518664214
413	0.1516853291
414	0.1516262855
415	0.1515498669
416	0.1514551976
417	0.1514216607
418	0.1513665004
419	0.1512598909
420	0.1511548545
421	0.1510273653
422	0.1509210822
423	0.1508648077
424	0.1507469318
425	0.1506685461
426	0.1505982237
427	0.1505037725
428	0.1503779277
429	0.1503155582
430	0.1502090098
431	0.1501555211
432	0.1501057319
433	0.1500198176
434	0.1499483153
435	0.1498638777
436	0.1497895578
437	0.1497026446
438	0.1496248879
439	0.149595021
440	0.1495290436
441	0.1494573357
442	0.1493452742
443	0.1492415104
444	0.1491508521
445	0.1490338718
446	0.1489480403
447	0.1488824982
448	0.14879783
449	0.1486807377
450	0.1485702904
451	0.1484724003
452	0.148413067
453	0.1483522039
454	0.1482993634
455	0.1481882231
456	0.1480308259
457	0.1479659115
458	0.147909818
459	0.1478357716
460	0.1477658404
461	0.1476913144
462	0.1476622958
463	0.1476006019
464	0.1475792067
465	0.1474595896
466	0.1473402349
467	0.1472745182
468	0.1472420153
469	0.1471492311
470	0.1470947135
471	0.1470160279
472	0.1469408714
473	0.1468987961
474	0.1468715487
475	0.1467899811
476	0.1466485855
477	0.1465360913
478	0.146515818
479	0.1464314228
480	0.1463989218
481	0.1463213141
482	0.1462169139
483	0.146143092
484	0.146062759
485	0.1460176073
486	0.1459751323
487	0.1459220239
488	0.1458573656
489	0.1458066439
490	0.145720719
491	0.1456682061
492	0.1456106386
493	0.1455382804
494	0.1454479792
495	0.1453897654
496	0.145313974
497	0.1452460263
498	0.1451225687
499	0.1450247529
500	0.144913515
501	0.1448049559
502	0.1447196246
503	0.1446506983
504	0.1445861655
505	0.1445228953
506	0.1444675825
507	0.1444077241
508	0.1443419118
509	0.1442778628
510	0.1441826957
511	0.1441041544
512	0.1440151079
513	0.1438825587
514	0.1438151495
515	0.1437399685
516	0.1436905575
517	0.1436173098
518	0.1435471659
519	0.1434501784
520	0.1433863354
521	0.1433459685
522	0.1432483399
523	0.1432237001
524	0.1431384213
525	0.1430322105
526	0.1429464449
527	0.1428465967
528	0.142803398
529	0.1427589182
530	0.1427007698
531	0.1426515365
532	0.1426091239
533	0.1424995945
534	0.1424504583
535	0.1423786067
536	0.1423484017
537	0.1423060832
538	0.1421838181
539	0.1421147144
540	0.1420818304
541	0.1419219352
542	0.1418584376
543	0.141757486
544	0.1416501364
545	0.1415901465
546	0.1415517188
547	0.1415169314
548	0.1414563694
549	0.1414014708
550	0.1413496295
551	0.1413137741
552	0.1412176289
553	0.1411820333
554	0.1410790723
555	0.1410470387
556	0.1409418829
557	0.1409026896
558	0.140863386
559	0.140794378
560	0.140743359
561	0.1406582727
562	0.1406104332
563	0.1405726946
564	0.1404564697
565	0.1403795816
566	0.1403375891
567	0.1402834385
568	0.1402481057
569	0.1401451998
570	0.1400704506
571	0.1400326743
572	0.1399973343
573	0.139933429
574	0.139873474
575	0.1398216456
576	0.1397366223
577	0.1396727216
578	0.1395991419
579	0.1395368364
580	0.1394820881
581	0.1394652219
582	0.139396408
583	0.139337702
584	0.1393027711
585	0.1392329798
586	0.1391712813
587	0.139086662
588	0.1390689149
589	0.1390342513
590	0.1389851993
591	0.1388875387
592	0.1388010438
593	0.1387506566
594	0.1386798528
595	0.1386101775
596	0.1385707167
597	0.138458983
598	0.1384060982
599	0.138340367
600	0.1382723557
601	0.1381933247
602	0.1381136621
603	0.1380316074
604	0.1379824435
605	0.1379246359
606	0.1378903147
607	0.1378404984
608	0.1377524759
609	0.1377072079
610	0.1376412687
611	0.1375527247
612	0.1374400592
613	0.1374143292
614	0.1373028046
615	0.13725312
616	0.137192133
617	0.1371090815
618	0.1370418669
619	0.1369938847
620	0.1369389517
621	0.1368969532
622	0.1368086867
623	0.1367498451
624	0.1366860392
625	0.1366469149
626	0.1365547836
627	0.1365081145
628	0.1364201068
629	0.1363873674
630	0.136347514
631	0.136307591
632	0.1362704473
633	0.1361516147
634	0.1361003636
635	0.1360481749
636	0.135996457
637	0.1359311822
638	0.1358787301
639	0.1358231956
640	0.1357566925
641	0.1357017895
642	0.1356362347
643	0.1355325923
644	0.1354457931
645	0.1353940497
646	0.1353195793
647	0.1352842298
648	0.1352198806
649	0.1351223378
650	0.1350546293
651	0.1350132898
652	0.1349461501
653	0.1348781871
654	0.134815732
655	0.1347803391
656	0.1346927395
657	0.1346312318
658	0.1345732941
659	0.1344898027
660	0.1344570409
661	0.134376267
662	0.1343245225
663	0.1342624081
664	0.1342283323
665	0.1341765047
666	0.1341142786
667	0.1340511283
668	0.1339927426
669	0.133929513
670	0.1338363936
671	0.1337544956
672	0.1337079781
673	0.13365395
674	0.1336237163
675	0.1335652306
676	0.1334635253
677	0.1333681073
678	0.1332817188
679	0.1332144183
680	0.1331691875
681	0.1331058549
682	0.1330614033
683	0.1330160036
684	0.1329350614
685	0.1328735211
686	0.1328504298
687	0.1327755049
688	0.1327070636
689	0.1326378119
690	0.1325444687
691	0.1324975604
692	0.1324400101
693	0.13234858
694	0.1322963219
695	0.1322671119
696	0.1321956244
697	0.1321299311
698	0.1320796601
699	0.1320041225
700	0.1319341415
701	0.1318726202
702	0.131820595
703	0.131799945
704	0.1317157487
705	0.1316193625
706	0.1315436308
707	0.1314677444
708	0.1314320141
709	0.1313735838
710	0.1313180744
711	0.1312654563
712	0.13120782
713	0.1311427107
714	0.1311009982
715	0.1310619813
716	0.1309992548
717	0.1309695598
718	0.1309017385
719	0.1308484132
720	0.1308037082
721	0.1307560813
722	0.1307084834
723	0.13064822
724	0.1305475242
725	0.1305042782
726	0.1304479554
727	0.1304031042
728	0.1303489251
729	0.1303133745
730	0.1302508803
731	0.1301529166
732	0.1300530593
733	0.1299940099
734	0.1299273316
735	0.1298879725
736	0.1298503184
737	0.1297493109
738	0.1296960383
739	0.12960888
740	0.1295784202
741	0.1294836392
742	0.1294308106
743	0.1293647415
744	0.1293380454
745	0.1293058697
746	0.1292421373
747	0.1291543517
748	0.129119514
749	0.1290945018
750	0.1290485529
751	0.1289960651
752	0.128950783
753	0.1289067183
754	0.1288401485
755	0.1288094716
756	0.1287539489
757	0.1287112534
758	0.1286386083
759	0.1285940606
760	0.1285097777
761	0.1284289418
762	0.1283636489
763	0.1283039146
764	0.1282698552
765	0.1282108789
766	0.1281707029
767	0.1281185085
768	0.1280865948
769	0.1279958081
770	0.1279195746
771	0.127851314
772	0.1277691187
773	0.1277438942
774	0.1277096159
775	0.1276360254
776	0.1275497458
777	0.1274785356
778	0.127428051
779	0.1273600949
780	0.127315226
781	0.1272459777
782	0.1271834756
783	0.1271604146
784	0.1271005778
785	0.1270731912
786	0.1270330815
787	0.1270026768
788	0.1269103035
789	0.1268413904
790	0.12682762
791	0.1267801274
792	0.1267260631
793	0.1266937769
794	0.1266646524
795	0.1266257855
796	0.1265805713
797	0.1265077984
798	0.1264441975
799	0.1263802908
800	0.1263154909
801	0.1262735843
802	0.1262160726
803	0.1261253118
804	0.1260551167
805	0.1260253294
806	0.1259831674
807	0.1259137707
808	0.1258627784
809	0.1257691459
810	0.1257441917
811	0.1256817417
812	0.1256307043
813	0.1255842382
814	0.1255310234
815	0.1254673986
816	0.1254528367
817	0.1254104515
818	0.1253740224
819	0.1252905981
820	0.1252366248
821	0.1251769341
822	0.1251453371
823	0.1250743839
824	0.1250379561
825	0.1249956493
826	0.1249422759
827	0.1248797395
828	0.1248327357
829	0.1247908911
830	0.1247511392
831	0.124706717
832	0.1246404951
833	0.1245793831
834	0.1245477916
835	0.1244646133
836	0.1244009982
837	0.1243702957
838	0.1243169146
839	0.1242540885
840	0.1241936507
841	0.124127255
842	0.1240513067
843	0.1240077829
844	0.1239395103
845	0.123896647
846	0.1238245543
847	0.1237794398
848	0.1237194222
849	0.1236564029
850	0.1236198033
851	0.1235648398
852	0.1235341978
853	0.1234558522
854	0.1234017123
855	0.123379493
856	0.123311692
857	0.1232673694
858	0.1232192053
859	0.1231523429
860	0.1231321388
861	0.1230612816
862	0.1230473837
863	0.1229871251
864	0.122935517
865	0.1229007176
866	0.1228662607
867	0.1228311047
868	0.1227905792
869	0.1227596069
870	0.1227130293
871	0.1226239701
872	0.1226008188
873	0.1225645698
874	0.1225249847
875	0.1224776846
876	0.1224183816
877	0.1223614847
878	0.1223457777
879	0.1222693352
880	0.1221779872
881	0.1221401273
882	0.1220608628
883	0.1220207342
884	0.1219764538
885	0.1219364043
886	0.1218767454
887	0.1218455851
888	0.1217673456
889	0.1217344535
890	0.1217137381
891	0.1216225542
892	0.1215880739
893	0.1215522553
894	0.1215084628
895	0.1214564501
896	0.1213911245
897	0.1213305244
898	0.1212847618
899	0.1212066908
900	0.1211706002
901	0.1211316356
902	0.1210724186
903	0.1210197775
904	0.1209558807
905	0.1208970675
906	0.1208210504
907	0.1207906253
908	0.1207349583
909	0.1206932511
910	0.1206506181
911	0.1206268832
912	0.1205977482
913	0.1205572215
914	0.1204912725
915	0.1204730934
916	0.120441047
917	0.120384717
918	0.1203437614
919	0.1202935545
920	0.1202500567
921	0.1202075705
922	0.1200990923
923	0.120042951
924	0.1199637606
925	0.1199280006
926	0.119862538
927	0.1198363578
928	0.119815566
929	0.119798497
930	0.1197635582
931	0.1197340628
932	0.1197101928
933	0.1196714507
934	0.1196061273
935	0.119515595
936	0.1194902797
937	0.1194451885
938	0.1193893662
939	0.1193491556
940	0.1192627533
941	0.1191723607
942	0.1191330339
943	0.1190962802
944	0.1190555629
945	0.1190294256
946	0.1190121807
947	0.1189600713
948	0.1189219072
949	0.1189083263
950	0.1188652658
951	0.118796249
952	0.1187389025
953	0.1186689016
954	0.1186605452
955	0.118623965
956	0.1185838029
957	0.1185473089
958	0.1185022746
959	0.1184683389
960	0.1184067269
961	0.1183774127
962	0.1183331792
963	0.1182677356
964	0.1182403559
965	0.118155401
966	0.1180727384
967	0.118010721
968	0.1179652759
969	0.1179032614
970	0.117861425
971	0.1178165005
972	0.117780904
973	0.1177364657
974	0.1176773705
975	0.1176552097
976	0.1176364376
977	0.1175607545
978	0.1175341098
979	0.117505694
980	0.1174629086
981	0.1174454556
982	0.1173877115
983	0.1173490656
984	0.1173140417
985	0.1172376967
986	0.1171732947
987	0.1171260296
988	0.1171063587
989	0.1170808978
990	0.1170651307
991	0.1170204139
992	0.1169694738
993	0.1169454237
994	0.1169218113
995	0.1168667356
996	0.1168005764
997	0.1167401258
998	0.1166789712
999	0.1166513866
